rel_type,property,rel_count,coverage,coverage_pct,distinct_values,suggested_verdict,samples
INTO_RECEIVER,id,345,345,100.0,345,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__EINGEBAUT_IN__bw_verbiest_lagerh… | r_bg_reuse_keramik_boden_verbiest_charleroi__EINGEBAUT_IN__bw_verbiest_lagerhau… | r_bg_reuse_naturstein_wand_verbiest_charleroi__EINGEBAUT_IN__bw_verbiest_lagerh… | r_bg_reuse_stahl_mehrere_55gss_external_core__EINGEBAUT_IN__bw_55_great_suffolk…
INTO_RECEIVER,evidence_confidence,345,345,100.0,1,KEEP,unklar
IST_UNTERVERFAHREN_VON,id,28,28,100.0,28,KEEP,r_pr_bohrkernpruefung_beton__IST_UNTERVERFAHREN_VON__pr_zerstoerende_pruefung | r_vt_bolzenverbindung__IST_UNTERVERFAHREN_VON__vt_reversible_fuegung | r_vt_demontierbarer_schwerlastanker__IST_UNTERVERFAHREN_VON__vt_reversible_fueg… | r_av_sandstrahlen__IST_UNTERVERFAHREN_VON__av_oberflaechenbehandlung
IST_UNTERVERFAHREN_VON,evidence_confidence,28,28,100.0,1,KEEP,unklar
LIEGT_IN_LAND,id,633,538,85.0,538,KEEP,r_p_55_great_suffolk_street_london__LIEGT_IN_LAND__land_vereinigtes_koenigreich | r_stadt_groeditz__LIEGT_IN_LAND__land_deutschland | r_p_association_house_groeditz__LIEGT_IN_LAND__land_deutschland | r_stadt_plauen__LIEGT_IN_LAND__land_deutschland
LIEGT_IN_LAND,evidence_confidence,633,504,79.6,2,KEEP,unklar | teilweise_belegt
LIEGT_IN_STADT,id,252,252,100.0,252,KEEP,r_p_55_great_suffolk_street_london__LIEGT_IN_STADT__stadt_london | r_bw_55_great_suffolk_street_warehouse__LIEGT_IN_STADT__stadt_london | r_bw_1_broadgate_london__LIEGT_IN_STADT__stadt_london | r_p_association_house_groeditz__LIEGT_IN_STADT__stadt_groeditz
LIEGT_IN_STADT,evidence_confidence,252,252,100.0,1,KEEP,unklar
METHODENGRUNDLAGE_NORM,evidence_confidence,8,8,100.0,1,KEEP,unklar
NUTZT_BAUWERK,id,166,166,100.0,166,KEEP,r_p_55_great_suffolk_street_london__NUTZT_BAUWERK__bw_55_great_suffolk_street_w… | r_p_association_house_groeditz__NUTZT_BAUWERK__bw_association_house_groeditz | r_p_association_house_plauen__NUTZT_BAUWERK__bw_association_house_plauen | r_p_bedzed_london_hackbridge__NUTZT_BAUWERK__bw_bedzed_quarter_hackbridge
NUTZT_BAUWERK,evidence_confidence,166,166,100.0,1,KEEP,unklar
NUTZT_MATERIAL,evidence_confidence,560,530,94.6,2,KEEP,belegt | unklar
NUTZT_MATERIAL,id,560,468,83.6,468,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__NUTZT_MATERIAL__mat_stahl | r_bg_reuse_keramik_boden_verbiest_charleroi__NUTZT_MATERIAL__mat_keramik | r_bg_reuse_naturstein_wand_verbiest_charleroi__NUTZT_MATERIAL__mat_naturstein | r_bg_reuse_stahl_mehrere_55gss_external_core__NUTZT_MATERIAL__mat_stahl
NUTZT_MATERIAL,evidence_url,560,22,3.9,9,KEEP,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux | https://materiuum.ch/ressourcerie-lausanne-magasin-shop/ | https://www.baumatpool.ch/de/ | https://bauteilboerse-basel.ch/
NUTZT_MATERIAL,evidence_quote,560,22,3.9,9,KEEP,"Le magasin de la Ressourcerie dispose en permanence de matériaux de constructio… | La Ressourcerie Lausanne permet de stocker et de prolonger la durée de vie de m… | Die Schweizer Materialbörse – Baumaterialien und Restposten einfach finden, kau… | Die Bauteilbörse rettet Bauteile, bevor sie Abfall werden ... Das und mehr find…"
NUTZT_SOFTWARE,id,50,50,100.0,50,KEEP,r_bg_reuse_stahl_mehrere_hof_1930s_beams_to_tbc__NUTZT_SOFTWARE__software_qflow | r_bg_reuse_stahl_mehrere_hof_1930s_beams_to_tbc__NUTZT_SOFTWARE__tool_qflow | r_bg_reuse_stahl_mehrere_hof_self_columns__NUTZT_SOFTWARE__software_qflow | r_bg_reuse_stahl_mehrere_hof_self_columns__NUTZT_SOFTWARE__tool_qflow
NUTZT_SOFTWARE,evidence_confidence,50,50,100.0,1,KEEP,unklar
REFERENZIERT_NORM,id,145,145,100.0,145,KEEP,r_p_55_great_suffolk_street_london__REFERENZIERT_NORM__norm_din_en_15804 | r_p_55_great_suffolk_street_london__REFERENZIERT_NORM__norm_din_en_15978 | r_p_55_great_suffolk_street_london__REFERENZIERT_NORM__norm_iso_14040 | r_p_55_great_suffolk_street_london__REFERENZIERT_NORM__norm_iso_14044
REFERENZIERT_NORM,evidence_confidence,145,145,100.0,2,KEEP,teilweise_belegt | unklar
RELEVANT_FOR,evidence_confidence,100,100,100.0,1,KEEP,teilweise_belegt
REQUIRES_VERIFICATION_FOR,id,339,339,100.0,339,KEEP,r_p_55_great_suffolk_street_london__REQUIRES_VERIFICATION_FOR__s_schwermetalle | r_p_55_great_suffolk_street_london__REQUIRES_VERIFICATION_FOR__s_bleifarbe | r_p_association_house_groeditz__REQUIRES_VERIFICATION_FOR__s_pcb | r_p_association_house_plauen__REQUIRES_VERIFICATION_FOR__s_pcb
REQUIRES_VERIFICATION_FOR,evidence_confidence,339,339,100.0,1,KEEP,inferiert
REQUIRES_VERIFICATION_FOR,pollutant_basis,339,339,100.0,3,KEEP,material_only | documented | era_and_material
STUB_PROJECT_LINK,id,169,169,100.0,169,KEEP,r_bellastock__ASSOZIIERT_MIT_PROJEKT__p_resilience_lferme_des_possibles_stains | r_werner_sobek_p__ASSOZIIERT_MIT_PROJEKT__p_umar_unit | r_bauburo_in_situ__ASSOZIIERT_MIT_PROJEKT__p_elys_kultur_gewerbehaus_basel | r_bauburo_in_situ__ASSOZIIERT_MIT_PROJEKT__p_juch_areal_recyclingzentrum_zuerich
STUB_PROJECT_LINK,evidence_confidence,169,169,100.0,2,KEEP,teilweise_belegt | unklar
STUB_PROJECT_LINK,not_confirmed_project_participation,169,129,76.3,1,KEEP,True
STUB_PROJECT_LINK,association_basis,169,53,31.4,4,KEEP,"actor-list source link; research/demonstrator/program association, not exact bu… | ReCreate programme/source link; not direct project-role proof | actor-list source link; project association needs project-file confirmation bef… | actor-list source link or context; upgrade only after project-file/external con…"
STUB_PROJECT_LINK,individual_project_lead_uncertain,169,2,1.2,1,KEEP,True
TEILT_LAYER,evidence_confidence,15,15,100.0,1,KEEP,unklar
TEIL_VON_KETTE,id,14,14,100.0,14,KEEP,r_bg_reuse_mehrere_mehrere_bestandsfundamente_und_erste_geschosse_blackfriars__… | r_bg_reuse_holz_mehrere_brettschichtholzbogen_recypark_demets__TEIL_VON_KETTE__… | r_bg_reuse_lehm_mehrere_btc_ziegel_mur_trombe_resilience__TEIL_VON_KETTE__k_reu… | r_bg_reuse_holz_fenster_doppeltverglaste_holzfenster_resilience__TEIL_VON_KETTE…
TEIL_VON_KETTE,evidence_confidence,14,14,100.0,1,KEEP,unklar
TEIL_VON_PROGRAMM,id,35,35,100.0,35,KEEP,r_prog_be_circular__TEIL_VON_PROGRAMM__prog_prec | r_p_jugendtreff_ingersheim__TEIL_VON_PROGRAMM__prog_stuttgart_210 | r_prog_fcrbe__TEIL_VON_PROGRAMM__prog_interreg_nwe | r_p_berlin_schildow_pilot_house__TEIL_VON_PROGRAMM__prog_pilotprojekt
TEIL_VON_PROGRAMM,evidence_confidence,35,35,100.0,1,KEEP,unklar
TYPISCH_BEI_BAUTEILTYP,id,10,10,100.0,10,KEEP,r_s_asbest__TYPISCH_BEI_BAUTEILTYP__bt_dach | r_s_asbest__TYPISCH_BEI_BAUTEILTYP__bt_daemmung | r_s_bleifarbe__TYPISCH_BEI_BAUTEILTYP__bt_fenster | r_s_bleifarbe__TYPISCH_BEI_BAUTEILTYP__bt_traeger
TYPISCH_BEI_BAUTEILTYP,evidence_confidence,10,10,100.0,1,KEEP,unklar
TYPISCH_BEI_ERA,id,15,15,100.0,15,KEEP,r_s_kmf__TYPISCH_BEI_ERA__era_1970_1990 | r_s_kmf__TYPISCH_BEI_ERA__era_1990_2000 | r_s_formaldehyd__TYPISCH_BEI_ERA__era_nachkrieg_1945_1970 | r_s_asbest__TYPISCH_BEI_ERA__era_1900_1945
TYPISCH_BEI_ERA,evidence_confidence,15,15,100.0,1,KEEP,unklar
TYPISCH_BEI_MATERIAL,id,91,91,100.0,91,KEEP,r_s_kmf__TYPISCH_BEI_MATERIAL__mat_daemmstoff | r_s_formaldehyd__TYPISCH_BEI_MATERIAL__mat_holz | r_s_formaldehyd__TYPISCH_BEI_MATERIAL__mat_mdf | r_s_schwermetalle__TYPISCH_BEI_MATERIAL__mat_aluminium
TYPISCH_BEI_MATERIAL,evidence_confidence,91,91,100.0,1,KEEP,unklar
VERBUNDEN_MIT_AKTEUR,id,302,298,98.7,298,KEEP,r_gardiner_and_theobald__VERBUNDEN_MIT_AKTEUR__cantillon | r_gardiner_and_theobald__VERBUNDEN_MIT_AKTEUR__cleveland_steel_tubes | r_gardiner_and_theobald__VERBUNDEN_MIT_AKTEUR__akt_ii | r_cantillon__VERBUNDEN_MIT_AKTEUR__cleveland_steel_tubes
VERBUNDEN_MIT_AKTEUR,evidence_confidence,302,298,98.7,2,KEEP,unklar | teilweise_belegt
VERBUNDEN_MIT_AKTEUR,connection_kind,302,59,19.5,1,KEEP,context_affiliation_from_actor_list
VERBUNDEN_MIT_AKTEUR,inference_basis,302,29,9.6,2,KEEP,shared 2 project(s) | shared 3 project(s)
